id_municipio,municipio,uf,regiao,n_alunos,taxa_prevista,taxa_observada,erro_padrao,residuo,residuo_z,risco
4305959,Cotiporã,RS,Sul,34,0.8228500160007873,0.4411764705882353,0.06545255889435882,-0.38167354541255205,-5.831300591754977,0.17714998399921267
2301406,Aratuba,CE,Nordeste,176,0.8232069631594108,0.8068181818181818,0.028743034357657984,-0.01638878134122901,-0.5701827140899116,0.17679303684058922
4318481,São José do Hortêncio,RS,Sul,32,0.8238516157377695,0.4375,0.06728817660365079,-0.38635161573776955,-5.741745953579721,0.17614838426223045
5210562,Itaguari,GO,Centro-Oeste,76,0.8240444622632805,0.7763157894736842,0.0436589206590131,-0.04772867278959636,-1.0932169661812996,0.17595553773671946
4112801,Joaquim Távora,PR,Sul,165,0.824643080582223,0.8545454545454545,0.029565670590673974,0.029902373963231477,1.0113883218554058,0.17535691941777698
4107405,Enéas Marques,PR,Sul,66,0.8247798725995562,0.8636363636363636,0.04677394483453675,0.03885649103680744,0.830729398049761,0.1752201274004438
5220603,Silvânia,GO,Centro-Oeste,200,0.8248192883774504,0.91,0.026865235307633784,0.08518071162254959,3.1706668728989467,0.17518071162254956
2302701,Campos Sales,CE,Nordeste,204,0.8248465410207768,0.8284313725490197,0.026590532362804675,0.003584831528242849,0.13481608714451226,0.1751534589792232
4125209,São Jorge d'Oeste,PR,Sul,99,0.8249692826273165,0.8484848484848485,0.03814795543730936,0.023515565857532006,0.6164305685052095,0.1750307173726835
4126009,São Sebastião da Amoreira,PR,Sul,68,0.8250756384603082,0.8823529411764706,0.04605696032364215,0.05727730271616238,1.2436188214262278,0.17492436153969182
4126603,Siqueira Campos,PR,Sul,266,0.8250980412297136,0.8308270676691729,0.02327381869539145,0.005729026439459273,0.24615756075274842,0.17490195877028636
4106803,Cruz Machado,PR,Sul,183,0.8254010764751615,0.8469945355191257,0.02804065024744733,0.021593459043964258,0.7700769723030945,0.17459892352483852
4125605,São Mateus do Sul,PR,Sul,507,0.8255254945883526,0.7080867850098619,0.01685094301079474,-0.11743870957849067,-6.969266319591684,0.17447450541164744
5206305,Cristianópolis,GO,Centro-Oeste,50,0.8255256178704868,0.82,0.0536215205530084,-0.0055256178704868875,-0.10304851137193043,0.17447438212951316
