id_municipio,municipio,uf,regiao,n_alunos,taxa_prevista,taxa_observada,erro_padrao,residuo,residuo_z,risco,residuo_uf,residuo_ajustado,mun_lag_meta_ano_alvo,meta,distancia_ate_meta_pp,prob_nao_atingir,classificacao
3108206,Bonfinópolis de Minas,MG,Sudeste,54,0.7226008255544035,0.6851851851851852,0.06090874250331471,-0.037415640369218295,-0.6142901467253589,0.2773991744455965,0.06756418903215056,-0.10497982940136885,80.0,0.8,-7.739918636652543,0.8980894517371629,risco crítico
2602704,Buenos Aires,PE,Nordeste,124,0.6021375121525728,0.8548387096774194,0.043924355872582074,0.25270119752484654,5.753099675676396,0.39786248784742717,0.056513547646742324,0.19618764987810422,65.79,0.65790004,-5.576252322874431,0.8978708502515425,risco crítico
1304302,Urucará,AM,Norte,180,0.5618158219511526,0.75,0.036662655118225605,0.18818417804884735,5.13285732967272,0.43818417804884735,-0.068715107700409,0.25689928574925636,60.83,0.60830003,-4.648420828032318,0.8975813552641723,risco crítico
2912004,Ibiassucê,BA,Nordeste,67,0.5988440506308552,0.6119402985074627,0.05981513449910398,0.013096247876607459,0.21894538875948927,0.4011559493691448,-0.11217652645487203,0.1252727743314795,67.46,0.6746,-7.575595451898609,0.8973331945166264,risco crítico
4304309,Cândido Godói,RS,Sul,53,0.6814229787956264,0.5660377358490566,0.06373988657812563,-0.11538524294656982,-1.8102517770429787,0.3185770212043736,-0.0742131756906475,-0.04117206725592232,76.2,0.76199996,-8.057698591842389,0.8969124897828369,risco crítico
3201704,Conceição do Castelo,ES,Sudeste,152,0.7335252634811027,0.8421052631578947,0.03585352845648223,0.108579999676792,3.0284327471027748,0.2664747365188973,0.07975548994201592,0.02882450973477607,77.84,0.77839994,-4.487468082431723,0.8946442297666264,risco crítico
2208106,Pimenteiras,PI,Nordeste,68,0.56234721154605,0.6176470588235294,0.060112556411927524,0.055299847277479386,0.9199383719190288,0.43765278845394995,0.039222924566388706,0.01607692271109068,63.73,0.6373,-7.495280294979956,0.8937782080847424,risco crítico
2501906,Belém,PB,Nordeste,99,0.5452312974631165,0.35353535353535354,0.05003726530644136,-0.19169594392776296,-3.8310635634015293,0.4547687025368835,-0.03568338079084338,-0.15601256313691958,60.65,0.6065,-6.126873210078731,0.889611011640361,risco crítico
4106555,Corumbataí do Sul,PR,Sul,58,0.7286036258635471,0.8793103448275862,0.05835150356759304,0.1507067189640391,2.5827392569150147,0.2713963741364529,0.07813155795034676,0.07257516101369232,80.0,0.8,-7.1396386057381855,0.8894402905367514,risco crítico
4211801,Ouro,SC,Sul,59,0.6626200489727349,0.8305084745762712,0.06153885660334296,0.16788842560353634,2.728169401743746,0.33737995102726515,0.05230326180180411,0.11558516380173223,73.74,0.7374,-7.4779946354261,0.887848669773917,risco crítico
2917904,Jandaíra,BA,Nordeste,97,0.4925254290166338,0.36082474226804123,0.050748582516723886,-0.1317006867485926,-2.5951599082632786,0.5074745709833661,-0.11217652645487203,-0.01952416029372056,55.37,0.5537,-6.117454122872751,0.8859839021696767,risco crítico
2508802,Malta,PB,Nordeste,59,0.6271423711646337,0.4915254237288136,0.062933928604107,-0.1356169474358201,-2.15490992607396,0.37285762883536633,-0.03568338079084338,-0.09993356664497671,70.29,0.7029,-7.575762130133922,0.8856596688530557,risco crítico
2402402,Carnaúba dos Dantas,RN,Nordeste,58,0.6014537331021973,0.29310344827586204,0.06427526365985146,-0.30835028482633525,-4.797339867139922,0.3985462668978027,-0.09364469258257188,-0.21470559224376337,67.88,0.6788,-7.734625373709713,0.8855813972259523,risco crítico
2922250,Muquém de São Francisco,BA,Nordeste,118,0.32849865875216483,0.22033898305084745,0.04319861128563978,-0.10815967570131738,-2.503776683610016,0.6715013412478352,-0.11217652645487203,0.004016850753554652,38.02,0.3802,-5.170133986500741,0.8843133446927631,risco crítico
5107248,Santa Carmem,MT,Centro-Oeste,95,0.671169578957847,0.9368421052631579,0.048162597580740624,0.2656725263053109,5.516158588828869,0.328830421042153,0.0350807253016272,0.2305918010036837,72.84,0.7284,-5.723041303128873,0.8826374678839075,risco crítico
4309803,Ibiaçá,RS,Sul,35,0.6215265475909101,0.6,0.08191514112039032,-0.021526547590910106,-0.2627908259264625,0.3784734524090899,-0.0742131756906475,0.0526866280997374,71.87,0.71870005,-9.717350371676813,0.8822422254890829,risco crítico
