id_municipio,grupo,alvo_alfabetizado
2103000,2,0.554519368723099
2103208,1,0.41751824817518246
2103604,1,0.5587703435804702
2103703,2,0.6702898550724637
2103901,1,0.8165680473372781
2104081,1,0.7945205479452054
2104107,1,0.788659793814433
2104503,1,0.7849462365591398
2104701,2,0.75
2105427,2,0.6031746031746031
2105500,2,0.563265306122449
2105708,1,0.7975609756097561
2105807,1,0.9705882352941176
2105963,1,0.9716981132075472
2106300,2,0.8194444444444444
2106326,1,0.4158730158730159
2106607,1,0.3420074349442379
2106755,1,0.5111111111111111
2106904,1,0.35918367346938773
2107357,1,0.6341463414634146
2107704,1,0.7471264367816092
2107803,1,0.5527950310559007
2108454,1,0.6990291262135923
2108504,1,0.5037593984962406
2109007,4,0.7410071942446043
2109106,2,0.44988344988344986
2109205,1,0.5853658536585366
2109239,1,0.75
2109403,1,0.6966292134831461
2109809,1,0.725
2110005,1,0.5951008645533141
2110039,1,0.8600823045267489
2110237,1,0.5333333333333333
2110401,1,0.3825136612021858
2111409,1,0.696969696969697
2111573,2,0.5972222222222222
2111607,2,0.8464566929133859
2111631,1,0.5531914893617021
2111805,2,0.54
2112407,1,0.6496598639455783
2112506,1,0.5792778649921507
2200053,2,0.819672131147541
2200103,2,0.6031746031746031
2200202,2,0.9197860962566845
2200251,2,0.7457627118644068
2200301,2,0.8214285714285714
2201101,1,0.45081967213114754
2201176,2,0.9318181818181818
2201606,2,0.6846846846846847
2201919,2,0.7567567567567568
2202133,2,0.9583333333333334
2202554,2,0.5892857142857143
2202737,2,0.9452054794520548
2202752,2,0.890625
2203230,2,0.9230769230769231
2203255,1,0.2682926829268293
2203354,2,0.11363636363636363
2203701,1,0.7294685990338164
2203909,4,0.5361216730038023
2204105,2,0.3225806451612903
2204501,2,0.6796875
2204659,1,0.33783783783783783
2204709,2,0.6721311475409836
2204808,2,0.9583333333333334
2204907,2,0.34444444444444444
2205151,2,0.8431372549019608
2205359,2,0.967741935483871
2205409,2,0.8128342245989305
2205508,2,0.43015521064301554
2205540,2,0.8823529411764706
2205557,1,0.5851063829787234
2205565,2,0.5925925925925926
2206050,2,0.6046511627906976
2206100,1,0.5225225225225225
2206704,2,0.3958333333333333
2207405,1,0.7222222222222222
2207553,2,0.5
2207702,2,0.38738127544097695
2207751,1,0.6428571428571429
2207850,2,0.9
2207959,2,0.49206349206349204
2208007,5,0.5511363636363636
2208106,2,0.6176470588235294
2209203,1,0.62
2209302,2,0.5588235294117647
2209377,2,0.5227272727272727
2209708,2,0.6461538461538462
2209872,2,0.4444444444444444
2210102,2,0.75
2210508,1,0.671875
2210631,2,0.7692307692307693
2210938,2,0.5645161290322581
2210953,2,0.6511627906976745
2300150,2,0.8095238095238095
2300309,2,0.6438356164383562
2300507,2,0.9904761904761905
2301208,2,0.9085173501577287
2301505,2,0.76
2301802,2,0.9166666666666666
2301901,4,0.8794326241134752
2302206,2,0.8165680473372781
2302602,2,0.9409395973154362
2303006,2,0.9872611464968153
2303402,2,0.8407079646017699
2304103,2,0.9718100890207715
2304202,4,0.9537190082644628
2304236,2,0.9914163090128756
2304285,4,0.9388830347734457
2304301,2,0.96
2305100,2,0.958904109589041
2305332,2,0.9662921348314607
2305506,4,0.6342780026990553
2305902,2,0.9953810623556582
2306504,2,0.9252873563218391
2306900,2,0.8925373134328358
2307601,4,0.8969465648854962
2308906,2,0.9776951672862454
2309102,2,0.8888888888888888
2309508,2,0.9107142857142857
2309607,4,0.8785607196401799
2310308,2,0.8828125
2310951,2,1.0
2311108,2,0.9206349206349206
2311231,2,0.9746835443037974
2311355,2,0.8831168831168831
2311702,2,0.9849246231155779
2311801,4,0.944954128440367
2311959,2,0.9841897233201581
2312007,2,0.9825783972125436
2312106,2,0.9651162790697675
2312502,5,0.9636363636363636
2312601,2,0.6576576576576577
2312809,2,0.9911504424778761
2313104,2,0.841897233201581
2313252,2,0.9175257731958762
2313302,2,0.920303605313093
2313401,2,0.8600182982616651
2313609,2,0.9512195121951219
2313807,2,0.8214285714285714
2313955,2,0.9804878048780488
2401206,1,0.31543624161073824
2401404,2,0.35135135135135137
2401453,1,0.4426229508196721
2402204,1,0.31715210355987056
2402402,4,0.29310344827586204
2402808,2,0.325
2403202,2,0.5227272727272727
2403251,4,0.36390977443609024
2403301,2,0.6666666666666666
2403400,2,0.5957446808510638
2405009,2,0.43037974683544306
2405207,2,0.37209302325581395
2405603,2,0.5670103092783505
2406106,2,0.4642857142857143
2406205,1,0.28888888888888886
2406304,1,0.30612244897959184
2407708,1,0.44166666666666665
2409100,2,0.43434343434343436
2409506,1,0.45
2410405,1,0.3333333333333333
2411403,2,0.5932203389830508
2411601,2,0.32142857142857145
2412302,2,0.5108695652173914
2412401,4,0.5555555555555556
2412609,2,0.35964912280701755
2412807,2,0.2926829268292683
2412906,2,0.49206349206349204
2413607,2,0.4794520547945205
2413706,2,0.48717948717948717
2413904,1,0.34408602150537637
2414159,2,0.38461538461538464
2414456,2,0.10810810810810811
2414506,2,0.4666666666666667
2414803,1,0.44696969696969696
2500502,2,0.524822695035461
2500700,2,0.7345132743362832
2501302,2,0.4433497536945813
2501906,2,0.35353535353535354
2502052,2,0.9428571428571428
2502409,2,0.6024096385542169
2502508,1,0.3684210526315789
2503209,4,0.5752212389380531
2503555,1,0.47619047619047616
2504157,2,0.5862068965517241
2505006,1,0.9767441860465116
2505238,1,0.23076923076923078
2505709,1,0.9620253164556962
2506004,1,0.6442687747035574
2506905,2,0.5379746835443038
